gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
m1_norm,t12,mu,200.00000000000006,10.643470251888894,1.0,1.0,False
m1_norm,t12,sigma,200.00000000000006,94.72832819314225,1.0,1.0,False
m1_norm,t12,skew,200.00000000000006,-31.714260585258163,-1.0,1.0,False
m1_norm,t12,kurtosis,200.00000000000006,-72.82831714724513,-1.0,1.0,False
m1_norm,t23,mu,200.00000000000006,3.5244071444101808,1.0,1.0,False
m1_norm,t23,sigma,200.00000000000006,15.84261498968475,1.0,1.0,False
m1_norm,t23,skew,200.00000000000006,-337.56904054246655,1.0,1.0,False
m1_norm,t23,kurtosis,200.00000000000006,-42.51722909583279,1.0,1.0,False
m1_norm,t34,mu,200.00000000000006,0.4744880869632196,1.0,1.0,False
m1_norm,t34,sigma,200.00000000000006,0.4310336704052904,1.0,1.0,False
m1_norm,t34,skew,200.00000000000006,-3.5618598314576553,1.0,1.0,False
m1_norm,t34,kurtosis,200.00000000000006,-28.622815852408024,-1.0,1.0,False
m1_norm,d2/d1,mu,200.00000000000006,0.12612054776995693,1.0,1.0,False
m1_norm,d2/d1,sigma,200.00000000000006,0.6487992108453917,1.0,1.0,False
m1_norm,d2/d1,skew,200.00000000000006,2.8412497981626377,-1.0,1.0,False
m1_norm,d2/d1,kurtosis,200.00000000000006,-0.027638510138908747,1.0,1.0,False
m1_norm,d3/d1,mu,200.00000000000006,0.5957317157109461,1.0,1.0,False
m1_norm,d3/d1,sigma,200.00000000000006,14.521794456435439,1.0,1.0,False
m1_norm,d3/d1,skew,200.00000000000006,27.234309732818907,-1.0,1.0,False
m1_norm,d3/d1,kurtosis,200.00000000000006,24.94381665784262,-1.0,1.0,False
m1_norm,d4/d1,mu,200.00000000000006,0.08796855827051236,1.0,1.0,False
m1_norm,d4/d1,sigma,200.00000000000006,39.836861902591146,1.0,1.0,False
m1_norm,d4/d1,skew,200.00000000000006,356.13354086630034,-1.0,1.0,False
m1_norm,d4/d1,kurtosis,200.00000000000006,134.07526387220165,-1.0,1.0,False
m1_norm,dt23,mu,200.00000000000006,626.9344875123336,-1.0,1.0,False
m1_norm,dt23,sigma,200.00000000000006,134.22708220016142,1.0,1.0,False
m1_norm,dt23,skew,200.00000000000006,-53.81993175471255,1.0,1.0,False
m1_norm,dt23,kurtosis,200.00000000000006,-86.45267143927033,-1.0,1.0,False
