gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
m4_norm,t12,mu,-200.0,-12.71870476597195,-1.0,1.0,False
m4_norm,t12,sigma,-200.0,52.57115745362779,1.0,1.0,False
m4_norm,t12,skew,-200.0,-46.31656039091457,1.0,1.0,False
m4_norm,t12,kurtosis,-200.0,-134.55772618230736,-1.0,1.0,False
m4_norm,t23,mu,-200.0,-2.6525536711561273,-1.0,1.0,False
m4_norm,t23,sigma,-200.0,5.258956655232689,1.0,1.0,False
m4_norm,t23,skew,-200.0,-81.27824886676017,1.0,1.0,False
m4_norm,t23,kurtosis,-200.0,24.99714115499995,-1.0,1.0,False
m4_norm,t34,mu,-200.0,11.941920171723883,1.0,1.0,False
m4_norm,t34,sigma,-200.0,-31.17745888629613,-1.0,1.0,False
m4_norm,t34,skew,-200.0,47.817230726724375,-1.0,1.0,False
m4_norm,t34,kurtosis,-200.0,-1089.3729171427183,1.0,1.0,False
m4_norm,d2/d1,mu,-200.0,2.031698263508087,1.0,1.0,False
m4_norm,d2/d1,sigma,-200.0,-21.615881444560216,-1.0,1.0,False
m4_norm,d2/d1,skew,-200.0,17.99999781089805,-1.0,1.0,False
m4_norm,d2/d1,kurtosis,-200.0,-76.29183898636379,1.0,1.0,False
m4_norm,d3/d1,mu,-200.0,1.9989060789034139,1.0,1.0,False
m4_norm,d3/d1,sigma,-200.0,-22.268262200998144,-1.0,1.0,False
m4_norm,d3/d1,skew,-200.0,-11.341153111612895,1.0,1.0,False
m4_norm,d3/d1,kurtosis,-200.0,11.559398296433915,-1.0,1.0,False
m4_norm,d4/d1,mu,-200.0,-0.5906135840228167,-1.0,1.0,False
m4_norm,d4/d1,sigma,-200.0,31.50725315447348,1.0,1.0,False
m4_norm,d4/d1,skew,-200.0,648.068037238886,-1.0,1.0,False
m4_norm,d4/d1,kurtosis,-200.0,-299.738234853011,1.0,1.0,False
m4_norm,dt23,mu,-200.0,-138.9353598016224,1.0,1.0,False
m4_norm,dt23,sigma,-200.0,82.54650121762654,1.0,1.0,False
m4_norm,dt23,skew,-200.0,-3119.1601311921245,1.0,1.0,False
m4_norm,dt23,kurtosis,-200.0,715.0513385443935,1.0,1.0,False
