zl,zs,pix_arc,nfw_name,nfw_x0,nfw_y0,nfw_logmass,nfw_concentration,nfw_axisrat,nfw_theta,nfw_add,nfw_radius,nfw_rho0,hern_name,hern_x0,hern_y0,hern_logmass,hern_effrad,hern_axisrat,hern_theta,hern_add,hern_radius,hern_norm,mult1_m,mult1_x0,mult1_y0,mult1_norm,mult1_slope,mult1_theta,mult1_add,mult3_m,mult3_x0,mult3_y0,mult3_norm,mult3_slope,mult3_theta,mult3_add,mult4_m,mult4_x0,mult4_y0,mult4_norm,mult4_slope,mult4_theta,mult4_add,ex_norm,ex_theta,ex_add,rhoc,sigCrit,angDist
0.9598657880397783,2.114384351240839,101.85333891116859,p01,0.0,0.0,11.874847636607686,6.356758371557471,0.85,0.0,True,21.008930885801977,22741159.625829674,p02,0.0,0.0,10.436093411110141,0.5511851927130502,0.85,0.0,True,0.3037030411848907,155083687995.09183,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,375.6730697324913,2462788386.1509166,1664673.836950616
0.7457382034868674,2.8381143187034716,44.46803877112074,p01,0.0,0.0,12.742538381499932,6.022377529940833,0.85,0.0,True,46.8044468488637,15721787.581317684,p02,0.0,0.0,11.078814229125847,5.808521310768637,0.85,0.0,True,3.2004952422335196,582080168.3637043,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,294.6147556985382,1867263412.6474028,1532839.0735645904
0.7712874025876999,2.6476306869401505,69.33427424136485,p01,0.0,0.0,12.071112269019055,6.718566660960179,0.85,0.0,True,24.81734970892404,20908802.944879197,p02,0.0,0.0,10.51094457868197,1.0175388539546688,0.85,0.0,True,0.5606639085290226,29285787683.927933,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,303.3175719707019,1931188587.044162,1552394.6625920262
0.9268508789710839,3.2461391866174014,101.84148210976497,p01,0.0,0.0,11.939470642098662,6.382097314650383,0.85,0.0,True,22.26429429830675,22114726.058748588,p02,0.0,0.0,10.36875094389611,1.0828690063110058,0.85,0.0,True,0.5966608224773643,17514127549.840416,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,361.9386555420832,1894832446.443748,1648633.3870873142
0.5199353409061587,1.7724621707291592,44.755868201263176,p01,0.0,0.0,12.512313331310958,7.066579764483065,0.85,0.0,True,36.39873285809175,17721901.84919796,p02,0.0,0.0,10.888339672866442,1.93997789303686,0.85,0.0,True,1.06892781906331,10076614985.602613,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,228.19605663833212,2127195901.4444807,1299370.3899983505
0.60149800228616,1.6887438790496994,140.8174265643478,p01,0.0,0.0,11.895348880984068,7.5994783811755235,0.85,0.0,True,20.44547337009974,23083011.453754075,p02,0.0,0.0,9.962677131534383,0.454175329569474,0.85,0.0,True,0.2502506065927802,93190543929.07864,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,250.0848677229405,2223804258.955754,1397782.2929820511
0.6637287401129868,2.1818360233136542,159.04587992229852,p01,0.0,0.0,11.527076102817158,7.8632126143774395,0.85,0.0,True,14.548372448985505,26872126.87686499,p02,0.0,0.0,9.835512297481388,0.2723598414866961,0.85,0.0,True,0.15007027265916958,322439630147.67175,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,268.35779155614017,2015248191.5353956,1461569.980201182
0.3713190778171697,1.0577237341207404,54.547502217471546,p01,0.0,0.0,12.405310210121938,7.877861435478197,0.85,0.0,True,31.750830040986365,19508457.13573131,p02,0.0,0.0,10.8453854081852,2.771806154032164,0.85,0.0,True,1.5272651908717225,3129407933.882854,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,193.95516189192227,2673782820.0179873,1066816.0829868307
0.5373298984042797,2.6377666980537247,122.49986146574274,p01,0.0,0.0,11.915291039061646,7.85614439119992,0.85,0.0,True,20.571494996995803,23248777.040260013,p02,0.0,0.0,9.938804110676116,0.5293231228490803,0.85,0.0,True,0.29165704068984327,55719453429.738335,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,232.6732735208816,1876763944.00161,1321895.1980208706
0.488323025847296,1.3286668872468037,89.813203698628,p01,0.0,0.0,12.056045640462772,7.868425516689125,0.85,0.0,True,23.3026118026238,22096631.101102915,p02,0.0,0.0,10.504648528269803,1.940592451623203,0.85,0.0,True,1.0692664408443848,4161125842.1983457,1,0.0,0.0,0.0,2.0,0.0,True,3,0.0,0.0,0.0,2.0,0.0,True,4,0.0,0.0,0.0,2.0,0.0,True,0.0,0.0,True,220.3178679465151,2422486506.795091,1256125.6460405155
