gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
nfw_axisrat,t12,mu,20.689655172413797,2.3100718291810964,1.0,1.0,False
nfw_axisrat,t12,sigma,20.689655172413797,-8.943084106795988,-1.0,1.0,False
nfw_axisrat,t12,skew,20.689655172413797,2.024901901662345,-1.0,1.0,False
nfw_axisrat,t12,kurtosis,20.689655172413797,3.80929442530148,1.0,1.0,False
nfw_axisrat,t23,mu,20.689655172413797,0.9907949782377936,1.0,1.0,False
nfw_axisrat,t23,sigma,20.689655172413797,-2.0372238661625013,-1.0,1.0,False
nfw_axisrat,t23,skew,20.689655172413797,-11.575853470476167,1.0,1.0,False
nfw_axisrat,t23,kurtosis,20.689655172413797,1.056695873193147,-1.0,1.0,False
nfw_axisrat,t34,mu,20.689655172413797,-1.3572109780091142,-1.0,1.0,False
nfw_axisrat,t34,sigma,20.689655172413797,-0.6581494121849343,-1.0,1.0,False
nfw_axisrat,t34,skew,20.689655172413797,-11.876952727273997,1.0,1.0,False
nfw_axisrat,t34,kurtosis,20.689655172413797,-46.33273327321268,-1.0,1.0,False
nfw_axisrat,d2/d1,mu,20.689655172413797,3.0994213675612063,1.0,1.0,False
nfw_axisrat,d2/d1,sigma,20.689655172413797,-47.216476612982994,-1.0,1.0,False
nfw_axisrat,d2/d1,skew,20.689655172413797,-0.1950462436859061,1.0,1.0,False
nfw_axisrat,d2/d1,kurtosis,20.689655172413797,13.189718806768772,-1.0,1.0,False
nfw_axisrat,d3/d1,mu,20.689655172413797,5.638492267342797,1.0,1.0,False
nfw_axisrat,d3/d1,sigma,20.689655172413797,-47.646077230182264,-1.0,1.0,False
nfw_axisrat,d3/d1,skew,20.689655172413797,79.68035078205499,-1.0,1.0,False
nfw_axisrat,d3/d1,kurtosis,20.689655172413797,-35.6965048786628,1.0,1.0,False
nfw_axisrat,d4/d1,mu,20.689655172413797,11.415048550938742,1.0,1.0,False
nfw_axisrat,d4/d1,sigma,20.689655172413797,-48.59040764702249,-1.0,1.0,False
nfw_axisrat,d4/d1,skew,20.689655172413797,-85.17540833002569,1.0,1.0,False
nfw_axisrat,d4/d1,kurtosis,20.689655172413797,-512.4580829278422,-1.0,1.0,False
nfw_axisrat,dt23,mu,20.689655172413797,-8.585650969845254,-1.0,1.0,False
nfw_axisrat,dt23,sigma,20.689655172413797,39.70456191515156,1.0,1.0,False
nfw_axisrat,dt23,skew,20.689655172413797,6.6193878031444084,1.0,1.0,False
nfw_axisrat,dt23,kurtosis,20.689655172413797,26.228349996492877,1.0,1.0,False
