config,interp_zl,interp_zs,interp_mvir,interp_mstar,interp_re,interp_count,n,mean_ER_pred,median_ER_pred,mean_ER_meas,median_ER_meas,mean_bias_arcsec,median_bias_arcsec,MAE_arcsec,median_abs_error_arcsec,RMSE_arcsec,mean_frac_error,median_frac_error,mean_abs_frac_error,median_abs_frac_error,std_frac_error,mean_abs_percent_error,median_abs_percent_error,correlation,within_1_percent,within_2_percent,within_5_percent,within_10_percent,within_20_percent,max_abs_percent_error,worst_galaxy,worst_ER_pred,worst_ER_meas
none,False,False,False,False,False,0,500,1.0403790548695329,0.828969556168256,1.0356829264894354,0.8240829439386066,0.004696128380097231,0.0038816504591702716,0.0735339355260242,0.049428322150089854,0.10479924854079514,0.016226562730320068,0.004752732307539011,0.084542089349772,0.06379692531354135,0.13206964189805018,8.454208934977201,6.379692531354135,0.991372279582365,9.8,18.8,39.6,69.6,94.0,173.92428116975498,145,0.3519336565053328,0.1284784448470394
zl,True,False,False,False,False,1,500,1.0518793847625425,0.8504290513288546,1.052590507506604,0.8609958541253404,-0.000711122744061663,-0.002540538499367667,0.07001681619459682,0.04482470677602249,0.10446216619520239,0.0036977705628770314,-0.003827464034847932,0.07357418732165337,0.05893227176150642,0.09983362123550461,7.357418732165337,5.893227176150642,0.9906199076172045,7.6,17.2,43.8,75.4,96.2,65.22138513612691,89,0.5256525236043315,0.3181504156809018
zs,False,True,False,False,False,1,500,1.0198470186564734,0.8196181708317449,1.0055903202487946,0.8228939930835764,0.01425669840767894,0.011354738625228289,0.07184031067408839,0.051392115689285395,0.101730923817281,0.023946239577222986,0.015185984573682518,0.0851516330396715,0.06877322513439384,0.11151151326123178,8.515163303967151,6.877322513439384,0.9909487853199718,7.3999999999999995,16.8,40.2,66.8,92.80000000000001,61.7572106821265,398,0.5890121174162254,0.3641334534221842
mvir,False,False,True,False,False,1,500,1.0177912009233825,0.8244021630439343,1.0146491794173784,0.8204860395131901,0.0031420215060040542,0.0029752523900926364,0.06318214244368782,0.041782879550475494,0.09027650459804082,0.007304781555904498,0.005130080008554635,0.06808178176205126,0.051208968246068826,0.08906462211751309,6.808178176205127,5.1208968246068824,0.9922993397034614,12.6,21.0,48.4,75.0,97.2,35.84149796519859,485,0.24600830476188565,0.18109952293437667
mstar,False,False,False,True,False,1,500,1.039399612806086,0.8667404060317203,1.0395766622352582,0.8528892161067274,-0.00017704942917243604,0.0007839377620099675,0.04979436272766566,0.03385471936685208,0.07218704264929361,0.005051179564427213,0.001370596294260967,0.05875900361768222,0.041084669522959805,0.08440638477556857,5.875900361768222,4.108466952295981,0.9959014189428439,12.6,25.8,57.4,83.2,96.8,48.02795935515268,145,0.4606650786858384,0.3112013978255272
re,False,False,False,False,True,1,500,1.0261220829793865,0.7756549038645592,1.022017921122136,0.7845735374299438,0.004104161857250302,0.0014605378204903818,0.062284140779894234,0.03980071608205682,0.09412233807871846,0.008712693034919363,0.0019696705444840483,0.06364348240980724,0.05441346852896469,0.07941896225297768,6.364348240980725,5.441346852896469,0.992668972635508,9.8,21.0,45.6,77.60000000000001,99.0,27.99586754104693,78,0.5282533304355238,0.4127112387172332
