gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
m3_norm,t12,mu,-200.0,0.33411149726422756,1.0,1.0,False
m3_norm,t12,sigma,-200.0,1.5860038398757663,1.0,1.0,False
m3_norm,t12,skew,-200.0,-0.7076648638716581,-1.0,1.0,False
m3_norm,t12,kurtosis,-200.0,-2.336449968795255,-1.0,1.0,False
m3_norm,t23,mu,-200.0,-0.050801300529837945,-1.0,1.0,False
m3_norm,t23,sigma,-200.0,-2.9026843829066737,-1.0,1.0,False
m3_norm,t23,skew,-200.0,79.3287697206123,-1.0,1.0,False
m3_norm,t23,kurtosis,-200.0,-6.872579734309061,1.0,1.0,False
m3_norm,t34,mu,-200.0,-0.20595851998999898,-1.0,1.0,False
m3_norm,t34,sigma,-200.0,0.9474730936195827,1.0,1.0,False
m3_norm,t34,skew,-200.0,-6.251990673588445,1.0,1.0,False
m3_norm,t34,kurtosis,-200.0,-22.1699964038602,-1.0,1.0,False
m3_norm,d2/d1,mu,-200.0,-0.08544451541444005,-1.0,1.0,False
m3_norm,d2/d1,sigma,-200.0,0.863594681941289,1.0,1.0,False
m3_norm,d2/d1,skew,-200.0,-6.160906535890922,1.0,1.0,False
m3_norm,d2/d1,kurtosis,-200.0,671.276372867692,-1.0,1.0,False
m3_norm,d3/d1,mu,-200.0,-0.0500528926342403,-1.0,1.0,False
m3_norm,d3/d1,sigma,-200.0,0.3206034715444652,1.0,1.0,False
m3_norm,d3/d1,skew,-200.0,-0.23230311386650496,1.0,1.0,False
m3_norm,d3/d1,kurtosis,-200.0,54.66889322198381,-1.0,1.0,False
m3_norm,d4/d1,mu,-200.0,-0.06437906170522588,-1.0,1.0,False
m3_norm,d4/d1,sigma,-200.0,-1.1575837913418552,-1.0,1.0,False
m3_norm,d4/d1,skew,-200.0,484.3159604623243,-1.0,1.0,False
m3_norm,d4/d1,kurtosis,-200.0,-391.84700329881935,1.0,1.0,False
m3_norm,dt23,mu,-200.0,-34.71635257413055,1.0,1.0,False
m3_norm,dt23,sigma,-200.0,-11.281443137727273,-1.0,1.0,False
m3_norm,dt23,skew,-200.0,87.51628714777546,-1.0,1.0,False
m3_norm,dt23,kurtosis,-200.0,23.548086024396945,1.0,1.0,False
