t_sec,rss_gib
0.004453420639038086,0.004787445068359375
0.015504121780395508,0.00746917724609375
0.026276826858520508,0.00864410400390625
0.037030696868896484,0.00864410400390625
0.04776287078857422,0.00864410400390625
0.05850696563720703,0.00864410400390625
0.0692446231842041,0.00864410400390625
0.07999539375305176,0.00864410400390625
0.0907142162322998,0.00864410400390625
0.10145235061645508,0.00864410400390625
0.11219286918640137,0.00864410400390625
0.12292647361755371,0.00864410400390625
0.13364624977111816,0.00864410400390625
0.14438676834106445,0.00864410400390625
0.15512704849243164,0.00864410400390625
0.16584467887878418,0.00864410400390625
0.17658591270446777,0.00864410400390625
0.18732285499572754,0.009708404541015625
0.19807124137878418,0.009708404541015625
0.20880866050720215,0.009708404541015625
0.21955442428588867,0.009708404541015625
0.23031830787658691,0.009708404541015625
0.24106216430664062,0.009708404541015625
0.2517848014831543,0.009708404541015625
0.2625267505645752,0.009708404541015625
0.27326226234436035,0.009708404541015625
0.28398704528808594,0.009708404541015625
0.2947070598602295,0.009708404541015625
0.30544376373291016,0.009960174560546875
0.316180944442749,0.010211944580078125
0.32689547538757324,0.010211944580078125
0.3376321792602539,0.010211944580078125
0.34836864471435547,0.010211944580078125
0.35910987854003906,0.010211944580078125
0.3698289394378662,0.010211944580078125
0.380568265914917,0.010211944580078125
0.3912975788116455,0.010211944580078125
0.40201854705810547,0.010211944580078125
0.4127345085144043,0.010211944580078125
0.42345309257507324,0.010211944580078125
0.43418359756469727,0.010715484619140625
0.4449038505554199,0.01102447509765625
0.45562267303466797,0.01102447509765625
0.4663538932800293,0.01102447509765625
0.4770815372467041,0.01102447509765625
0.4877946376800537,0.01102447509765625
0.49852561950683594,0.01102447509765625
0.5092475414276123,0.01102447509765625
0.5199642181396484,0.01102447509765625
0.5306696891784668,0.01102447509765625
0.5413954257965088,0.01102447509765625
0.5521185398101807,0.01102447509765625
0.562824010848999,0.01102447509765625
0.5735399723052979,0.01102447509765625
0.5842702388763428,0.01102447509765625
0.5949945449829102,0.01102447509765625
0.6057114601135254,0.01102447509765625
0.616443395614624,0.01102447509765625
0.6271712779998779,0.01102447509765625
0.6378867626190186,0.0131378173828125
0.6486072540283203,0.017559051513671875
0.659355640411377,0.019367218017578125
0.6700887680053711,0.02010345458984375
0.6808309555053711,0.0208587646484375
0.6915624141693115,0.0208587646484375
0.7022931575775146,0.0208587646484375
0.7130162715911865,0.0208587646484375
0.7237319946289062,0.0208587646484375
0.7344741821289062,0.0208587646484375
0.7452073097229004,0.0208587646484375
0.7559401988983154,0.0208587646484375
0.7666599750518799,0.0208587646484375
0.77738356590271,0.0208587646484375
0.7881231307983398,0.0208587646484375
0.7988348007202148,0.0208587646484375
0.8095705509185791,0.0208587646484375
0.8203167915344238,0.0208587646484375
0.8310568332672119,0.0208587646484375
0.841763973236084,0.0208587646484375
0.8524990081787109,0.0208587646484375
0.8632233142852783,0.0208587646484375
0.8739595413208008,0.0208587646484375
0.8846702575683594,0.0208587646484375
0.8954043388366699,0.0208587646484375
0.9061369895935059,0.021419525146484375
0.916863203048706,0.022006988525390625
0.9275765419006348,0.022258758544921875
0.9383220672607422,0.022876739501953125
0.949042797088623,0.02318572998046875
0.9597525596618652,0.02318572998046875
0.9704883098602295,0.02318572998046875
0.9812197685241699,0.02318572998046875
0.9919488430023193,0.02318572998046875
1.0026674270629883,0.02318572998046875
1.0133998394012451,0.02318572998046875
1.0241212844848633,0.02318572998046875
1.0348284244537354,0.02318572998046875
1.0455594062805176,0.02318572998046875
1.0562865734100342,0.02318572998046875
1.0670182704925537,0.02318572998046875
1.0777292251586914,0.02318572998046875
1.0884499549865723,0.02318572998046875
1.0991737842559814,0.02318572998046875
1.1099090576171875,0.02318572998046875
1.1206271648406982,0.02318572998046875
1.1313529014587402,0.02318572998046875
1.1420807838439941,0.02318572998046875
1.1527907848358154,0.02318572998046875
1.163536787033081,0.02318572998046875
1.1742603778839111,0.02318572998046875
1.1849827766418457,0.02318572998046875
1.1957101821899414,0.02318572998046875
1.2064602375030518,0.02318572998046875
1.2171804904937744,0.02318572998046875
1.2278940677642822,0.02318572998046875
1.2386047840118408,0.02318572998046875
1.2493295669555664,0.02318572998046875
1.2600674629211426,0.02318572998046875
1.270775318145752,0.02318572998046875
1.2815024852752686,0.02318572998046875
1.292231798171997,0.02318572998046875
1.3029518127441406,0.02318572998046875
1.3136742115020752,0.02318572998046875
1.3243978023529053,0.02318572998046875
1.3351178169250488,0.02318572998046875
1.3458278179168701,0.02318572998046875
1.3565409183502197,0.02318572998046875
1.36726713180542,0.02318572998046875
1.3779911994934082,0.02318572998046875
1.3887059688568115,0.02318572998046875
1.3994393348693848,0.02318572998046875
1.4101741313934326,0.02318572998046875
1.4208860397338867,0.02318572998046875
1.4315977096557617,0.02318572998046875
1.4423246383666992,0.02318572998046875
1.4530634880065918,0.02318572998046875
1.4637739658355713,0.02318572998046875
1.4745101928710938,0.02318572998046875
1.4852557182312012,0.02318572998046875
1.4959843158721924,0.02318572998046875
1.5067052841186523,0.02318572998046875
1.517425775527954,0.02318572998046875
1.5281550884246826,0.02318572998046875
1.538865089416504,0.02318572998046875
1.5495755672454834,0.02318572998046875
1.560307502746582,0.02318572998046875
1.5710384845733643,0.02318572998046875
1.581756353378296,0.02318572998046875
1.5925061702728271,0.02318572998046875
1.6032435894012451,0.02318572998046875
1.6139726638793945,0.0239410400390625
1.6246869564056396,0.024120330810546875
1.6354126930236816,0.024463653564453125
1.6461410522460938,0.02558135986328125
1.6568806171417236,0.02558135986328125
1.667607307434082,0.02632904052734375
1.6783390045166016,0.026935577392578125
1.6890876293182373,0.027286529541015625
1.6998088359832764,0.0282135009765625
1.710538625717163,0.02835845947265625
1.7212669849395752,0.028781890869140625
1.731994390487671,0.029850006103515625
1.7427210807800293,0.030719757080078125
1.7534499168395996,0.030971527099609375
1.76417875289917,0.030971527099609375
