gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
both_axisrat,t12,mu,20.689655172413797,3.1053008751398026,1.0,1.0,False
both_axisrat,t12,sigma,20.689655172413797,-9.173159345780237,-1.0,1.0,False
both_axisrat,t12,skew,20.689655172413797,35.764952773671574,-1.0,1.0,False
both_axisrat,t12,kurtosis,20.689655172413797,35619.86244339321,1.0,1.0,False
both_axisrat,t23,mu,20.689655172413797,3.601866027152016,1.0,1.0,False
both_axisrat,t23,sigma,20.689655172413797,-3.4369335872374602,-1.0,1.0,False
both_axisrat,t23,skew,20.689655172413797,131.36034357706768,-1.0,1.0,False
both_axisrat,t23,kurtosis,20.689655172413797,-18.335779478439274,1.0,1.0,False
both_axisrat,t34,mu,20.689655172413797,-1.3299335591772536,-1.0,1.0,False
both_axisrat,t34,sigma,20.689655172413797,8.342795256713126,1.0,1.0,False
both_axisrat,t34,skew,20.689655172413797,-12.153509401348554,1.0,1.0,False
both_axisrat,t34,kurtosis,20.689655172413797,-55.240141184423855,-1.0,1.0,False
both_axisrat,d2/d1,mu,20.689655172413797,5.75709538713699,1.0,1.0,False
both_axisrat,d2/d1,sigma,20.689655172413797,-51.09171089131248,-1.0,1.0,False
both_axisrat,d2/d1,skew,20.689655172413797,4.526288916791053,-1.0,1.0,False
both_axisrat,d2/d1,kurtosis,20.689655172413797,-2.346203637861348,1.0,1.0,False
both_axisrat,d3/d1,mu,20.689655172413797,7.475309130936249,1.0,1.0,False
both_axisrat,d3/d1,sigma,20.689655172413797,-52.15077904671139,-1.0,1.0,False
both_axisrat,d3/d1,skew,20.689655172413797,32.185849707903216,-1.0,1.0,False
both_axisrat,d3/d1,kurtosis,20.689655172413797,-36.48735460663629,1.0,1.0,False
both_axisrat,d4/d1,mu,20.689655172413797,18.42295053973455,1.0,1.0,False
both_axisrat,d4/d1,sigma,20.689655172413797,-56.66422515787549,-1.0,1.0,False
both_axisrat,d4/d1,skew,20.689655172413797,-48.94491515365005,1.0,1.0,False
both_axisrat,d4/d1,kurtosis,20.689655172413797,-50.7433932897274,-1.0,1.0,False
both_axisrat,dt23,mu,20.689655172413797,-92.00806186640935,1.0,1.0,False
both_axisrat,dt23,sigma,20.689655172413797,-55.110418560771976,-1.0,1.0,False
both_axisrat,dt23,skew,20.689655172413797,-173.2434671064914,1.0,1.0,False
both_axisrat,dt23,kurtosis,20.689655172413797,399.54675807192564,1.0,1.0,False
